-8656,6224,-13584,546,-165,393
-10224,10624,-9024,622,-302,236
-10416,11632,-5024,641,-317,182
-9984,12960,2064,635,-380,26
-6448,13104,7776,596,-403,-112
-2208,12256,9296,385,-526,-236
880,9280,14672,293,-450,-353
4752,2640,15552,155,-292,-458
8544,-4736,11408,-98,240,-430
10688,-6944,9600,-169,372,-336
12368,-7552,6096,-268,410,-257
14400,-5808,3936,-378,426,-116
14688,-448,4320,-514,236,-121
13456,4736,6352,-517,67,-216
13488,7136,4720,-506,-83,-237
13632,7616,192,-487,-310,-164
13568,5872,-3856,-447,-476,5
13216,5536,-6336,-393,-519,149
13408,3920,-8208,-375,-467,289
13200,2272,-9232,-348,-295,440
11856,1584,-11712,-285,-243,496
12720,1600,-10608,-283,-324,463
11936,64,-11216,-240,-154,534
12256,-4720,-9056,-270,134,515
12976,-6208,-6000,-310,312,416
14400,-6048,1344,-391,458,110
14464,-4960,4016,-400,369,-169
11440,-2896,11824,-316,331,-291
8208,-1728,13536,-229,306,-362
2720,-800,14608,-26,252,-443
-5200,-688,15872,286,238,-422
-8576,-480,14112,436,238,-352
3344,-272,16432,-59,243,-439
8880,0,13072,-294,243,-354
14992,-2208,3168,-496,288,-95
14384,-5232,-2304,-474,370,36
12256,-6752,-7904,-386,436,200
10096,-6656,-10336,-343,444,248
7616,-6528,-13664,-257,422,362
1984,-3616,-16704,13,340,496
-2720,1744,-16432,227,151,545
-6368,9696,-11536,407,-103,500
-6480,14224,-5296,513,-336,356
-80,16448,560,310,-662,79
6064,14144,4768,108,-687,-100
3728,14752,6704,28,-655,-169
-1136,13648,9488,360,-512,-272
-224,9888,13168,324,-411,-366
-3200,6064,15632,395,-242,-406
-9584,2752,13168,582,-192,-282
-14144,-2320,7696,713,-48,-44
-17088,1312,2768,693,-190,129
-16768,4704,-1552,597,-352,231
-15136,6416,-2416,500,-523,153
-15152,6944,-1664,495,-539,114
-14976,6288,-6400,474,-528,190
-12944,10096,-3632,383,-574,236
-13712,9056,-3456,408,-596,159
-3104,15136,-9312,94,-698,165
-4176,13824,-10144,37,-662,260
1504,10784,-10944,-272,-507,348
5040,5408,-15152,-390,-312,401
8560,1904,-13216,-445,-232,392
9088,224,-14704,-484,-227,352
11904,-1600,-10448,-554,-172,259
14352,-2880,-7408,-585,-155,192
15472,-1984,-2752,-588,-213,91
15968,656,1088,-552,-298,-21
14160,608,3520,-523,-346,-58
13312,5456,6608,-396,-490,-113
12416,6928,6672,-347,-536,-105
9312,3568,12560,-320,-429,-274
1744,2240,15776,-139,-382,-404
80,-848,17152,-108,-326,-436
-560,-7056,15600,-168,80,-461
128,-14496,6704,-232,519,-159
-5552,-14320,-6256,-74,592,217
-10192,-6368,-13136,154,406,447
-9200,1712,-15824,174,-60,585
-6880,8032,-12192,75,-362,530
-5152,14000,-7152,16,-533,423
-5872,15216,5904,35,-710,-49
-4672,14592,8016,-6,-687,-113
-5152,8368,14208,26,-627,-237
-2080,2736,16304,-63,-401,-414
288,-3312,16112,-178,-97,-467
1728,-8112,15440,-187,24,-464
5152,-8048,13072,-176,40,-469
5248,-6448,13984,-174,-70,-473
7280,1040,14208,-227,-298,-408
5168,7552,14064,-210,-543,-250
6384,12016,7776,-292,-608,-35
7792,14032,2352,-387,-525,168
10528,11456,-3776,-503,-288,283
13888,6144,-5936,-590,-55,211
15328,768,-3952,-593,106,-31
14864,-2672,-2064,-546,133,-140
15280,-2480,1024,-544,-45,-182
14864,-3008,5712,-508,-91,-234
11952,880,9472,-385,-346,-277
9536,3904,11312,-299,-458,-263
2880,480,16672,-107,-368,-415
2480,-1200,16928,-26,-274,-471
64,-3824,16800,66,-160,-505
-3136,-7280,14928,189,-25,-503
-3984,-8736,13200,260,43,-488
-1424,-10464,12240,285,211,-441
-816,-13248,10976,282,308,-397
1184,-15568,2320,235,557,-154
4064,-11808,-5200,102,628,84
3936,-15664,-640,128,626,57
4064,-15280,1024,139,620,37
4304,-16160,1504,144,622,67
1520,-14448,7344,206,597,-58
896,-8912,12816,231,501,-243
-656,-1168,17056,233,167,-457
-3792,5872,15072,439,-176,-406
-5168,11392,10992,488,-398,-275
-8432,13904,7616,563,-441,-125
-10144,13264,560,617,-417,44
-11712,10112,-7008,636,-189,275
-12240,6096,-10288,588,-13,362
-8128,2176,-15424,370,149,492
240,336,-17936,-1,220,550
4048,720,-16896,-110,211,540
6304,2400,-14336,-168,163,538
5968,8848,-13184,-155,-39,568
2528,15280,-5584,110,-560,387
2112,14864,6000,168,-700,11
4352,9632,12880,159,-534,-323
6880,3600,14656,30,-178,-492
9520,-528,13456,-100,121,-469
9728,-2960,12064,-189,289,-382
12960,-3808,7888,-312,369,-263
13424,-4032,-7184,-416,362,262
10880,-736,-12624,-344,284,404
8576,1952,-12144,-240,189,508
3296,2752,-16976,-61,143,567
-5344,2640,-15952,241,130,546
-8000,5264,-13712,371,71,508
-13024,7632,-8416,535,-35,411
-14272,7360,-5104,678,-60,213
-14320,8528,-400,707,-153,88
-9584,11984,6128,643,-284,-142
