-1424	-10464	12240
-816	-13248	10976
1184	-15568	2320
4064	-11808	-5200
3936	-15664	-640
4064	-15280	1024
4304	-16160	1504
1520	-14448	7344
896	-8912	12816
-656	-1168	17056
-3792	5872	15072
-5168	11392	10992
-8432	13904	7616
-10144	13264	560
-11712	10112	-7008
-12240	6096	-10288
-8128	2176	-15424
240	336	-17936
4048	720	-16896
6304	2400	-14336
5968	8848	-13184
2528	15280	-5584
2112	14864	6000
4352	9632	12880
6880	3600	14656
9520	-528	13456
9728	-2960	12064
12960	-3808	7888
13424	-4032	-7184
10880	-736	-12624
8576	1952	-12144
3296	2752	-16976
-5344	2640	-15952
-8000	5264	-13712
-13024	7632	-8416
-14272	7360	-5104
-14320	8528	-400
-9584	11984	6128
-6848	13104	8688
-8752	12560	6448
-13424	10960	-384
-15024	4784	-5376
-10704	3440	-13296
-4384	2320	-16320
2352	672	-19216
8272	-2032	-14256
13440	-5344	-6160
15008	-4672	1360
12768	-3840	6496
11456	-2752	10176
9952	-1760	11040
7616	1616	13696
4400	7408	11936
-3616	7424	13952
-9184	12752	7920
-13312	10416	1488
-15136	9040	-1344
-13696	8224	-5552
-10320	6848	-10448
-7680	7184	-13216
-2720	5120	-15136
3504	5168	-14896
8992	7568	-10528
11456	10448	-4624
11280	10160	384
10128	11184	3840
7760	11376	7440
4272	13520	10336
2640	12912	10528
3344	12992	9392
2736	14144	7696
-256	16288	6336
240	17184	4592
864	17872	2688
2144	16048	7984
7472	10720	9008
12688	5776	8048
14640	3648	3984
15200	1264	848
15312	-480	-384
14816	944	-3632
11952	3808	-11360
4224	-704	-16640
-96	-4160	-16336
-5232	-10336	-11696
-8656	-12048	-8736
-9024	-13808	-1280
-8992	-12464	6544
-9440	-8944	10528
-12704	-5248	11248
-12832	-1888	10512
-14784	-2016	7616
-15344	-896	6016
-16352	1552	3136
-16320	2832	1488
-16080	4464	288
-15360	6464	144
-13920	9248	1104
-12064	10336	4800
-7664	11232	7040
-4144	11888	10448
1808	7408	14032
5712	-96	14544
8928	-7792	10624
11664	-6912	8160
13664	-2400	8080
14192	640	6544
14240	4160	5888
13248	6656	4560
12880	8672	1664
12512	8528	-3136
